"","d0_Old_Rep1","d0_Old_Rep2","d0_Old_Rep3","d0_Old_Rep4","d0_Y_Rep4","d1_Old_Rep1","d1_Old_Rep2","d1_Y_Rep1","d1_Y_Rep2","d3_Old_Rep1","d3_Old_Rep2","d3_Old_Rep3","d3_Old_Rep4","d3_Y_Rep1","d3_Y_Rep2","d3_Y_Rep3","d3_Y_Rep4","d5_Old_Rep1","d5_Old_Rep2","d5_Old_Rep3","d5_Old_Rep4","d5_Y_Rep1","d5_Y_Rep2","d5_Y_Rep3","d7_Old_Rep1","d7_Old_Rep2","d7_Y_Rep1"
"d0_Old_Rep1",1,0.976602721403084,0.999978268641696,0.798997711047631,0.925143285448921,0.808945389971682,0.837846415741724,0.805535902253923,0.814409532686907,0.833319479730175,0.84646137326585,0.834214661761092,0.847933347402059,0.806579671519637,0.807635376958187,0.806596912400335,0.807637346314903,0.862344184850185,0.862392027053313,0.862270545639514,0.862333452436649,0.83495191161501,0.83211594234943,0.83498978897164,0.810505753944297,0.807491299790638,0.810312089128427
"d0_Old_Rep2",0.976602721403084,1,0.976603887641087,0.75413641223594,0.877650714383606,0.782528465969137,0.80026608483885,0.780386053248494,0.780205507422963,0.804804606035287,0.824418680471555,0.805472459638726,0.825790010288757,0.748506658971192,0.817319154584101,0.748512469664114,0.817319828445371,0.836270548845053,0.833896580395042,0.836233088074978,0.833866481778649,0.801493678039225,0.808867859248482,0.801512763057409,0.777773812279454,0.766325379816429,0.793617750397009
"d0_Old_Rep3",0.999978268641696,0.976603887641087,1,0.798995208762272,0.9251438434364,0.808985631283337,0.837863713999843,0.805548775426532,0.81442288671661,0.833329373842043,0.846468809604646,0.834221516339555,0.847939549790261,0.80659774526501,0.807645286078172,0.806593221579509,0.807644850700405,0.86233518544193,0.86239086100883,0.862328363924783,0.862384797635475,0.834992910826319,0.832137616427995,0.83499614897415,0.810504634552461,0.807487509640889,0.810313861081724
"d0_Old_Rep4",0.798997711047631,0.75413641223594,0.798995208762272,1,0.713346304626118,0.607934929258519,0.744997663930302,0.654653187514717,0.6917959377631,0.681794397942147,0.692650947815366,0.682688834707078,0.694115936915414,0.689761524849175,0.642209750543056,0.68976748196064,0.642210483616834,0.709565690971608,0.695734923275091,0.709530004255545,0.695706438177887,0.704040019590244,0.694205299422208,0.704058367053024,0.781180842947617,0.606295940578825,0.639043460724059
"d0_Y_Rep4",0.925143285448921,0.877650714383606,0.9251438434364,0.713346304626118,1,0.745612663091101,0.766218843616329,0.833524808252325,0.813574030869434,0.791923325632199,0.782804833604274,0.791331948374976,0.784715108538458,0.858703851888864,0.796371506979259,0.858708990791148,0.796372169719481,0.808024230922494,0.808408709137936,0.807987634043176,0.808379287220156,0.866647979967176,0.851643250074485,0.866667147668834,0.769733096673792,0.806215561034457,0.828856126732465
"d1_Old_Rep1",0.808945389971682,0.782528465969137,0.808985631283337,0.607934929258519,0.745612663091101,1,0.936328228807774,0.833564736223297,0.865420682994592,0.793564485382834,0.779871513928915,0.794415418504159,0.781216390651108,0.754179704821704,0.713682519907289,0.754164289315825,0.713680894202462,0.798701226181955,0.81051953504539,0.798729274236696,0.81054080994475,0.759433081832205,0.73110343875103,0.759418189014477,0.738204713379029,0.713600627811602,0.801697104431746
"d1_Old_Rep2",0.837846415741724,0.80026608483885,0.837863713999843,0.744997663930302,0.766218843616329,0.936328228807774,1,0.887942357967046,0.942036345925973,0.817773439961482,0.837031623201806,0.818717623541914,0.838432626957866,0.803513216052141,0.764467759039929,0.803509317006151,0.764467409084381,0.842228971706929,0.844014125667269,0.842220498477958,0.844006762762065,0.810510083756757,0.801222975888542,0.810514157655514,0.834568945454318,0.784137860077973,0.79947733614209
"d1_Y_Rep1",0.805535902253923,0.780386053248494,0.805548775426532,0.654653187514717,0.833524808252325,0.833564736223297,0.887942357967046,1,0.878783161964478,0.819176129155795,0.790019099113886,0.819812591972281,0.791879541010614,0.825739327087551,0.830204091119575,0.825737262478365,0.830203927910841,0.821292516936492,0.805861989783582,0.821278336962845,0.805850323417073,0.855671509563595,0.845151131654248,0.855678918936255,0.824829612485467,0.809945505906044,0.808352099441475
"d1_Y_Rep2",0.814409532686907,0.780205507422963,0.81442288671661,0.6917959377631,0.813574030869434,0.865420682994592,0.942036345925973,0.878783161964478,1,0.76289052851805,0.823209907498733,0.7628249994388,0.824806949660911,0.830697030592271,0.811145327733149,0.830694775114511,0.811145153573271,0.809360157352904,0.815139848234687,0.809346630574642,0.81512850354332,0.840904574585828,0.852124858426381,0.840911629643301,0.802349671063862,0.8074737207627,0.827549295409363
"d3_Old_Rep1",0.833319479730175,0.804804606035287,0.833329373842043,0.681794397942147,0.791923325632199,0.793564485382834,0.817773439961482,0.819176129155795,0.76289052851805,1,0.950382101331674,0.961629936952612,0.950348810575589,0.925855401303627,0.898203302759584,0.925854650986688,0.898203305739674,0.904350301606614,0.898079253571768,0.904329792637589,0.898062458696573,0.877519891084194,0.856252393036582,0.877530221788892,0.858844958966749,0.822330665966021,0.83447628675083
