Sample	Day	Age	KO
d0_Old_Rep1	0	Old	Unspecified
d0_Old_Rep2	0	Old	Unspecified
d0_Old_Rep3	0	Old	Unspecified
d0_Old_Rep4	0	Old	Unspecified
d0_Y_Rep3	0	Y	Unspecified
d0_Y_Rep4	0	Y	Unspecified
d1_Old_Rep1	1	Old	Unspecified
d1_Old_Rep2	1	Old	Unspecified
d1_Y_Rep1	1	Y	Unspecified
d1_Y_Rep2	1	Y	Unspecified
d21_KO_Rep1	21	Y	KO
d21_KO_Rep2	21	Y	KO
d21_WT_Rep1	21	Y	WT
d21_WT_Rep2	21	Y	WT
d3_Old_Rep1	3	Old	Unspecified
d3_Old_Rep2	3	Old	Unspecified
d3_Old_Rep3	3	Old	Unspecified
d3_Old_Rep4	3	Old	Unspecified
d3_Y_Rep1	3	Y	Unspecified
d3_Y_Rep2	3	Y	Unspecified
d3_Y_Rep3	3	Y	Unspecified
d3_Y_Rep4	3	Y	Unspecified
d5_Old_Rep1	5	Old	Unspecified
d5_Old_Rep2	5	Old	Unspecified
d5_Old_Rep3	5	Old	Unspecified
d5_Old_Rep4	5	Old	Unspecified
d5_Y_Rep1	5	Y	Unspecified
d5_Y_Rep2	5	Y	Unspecified
d5_Y_Rep3	5	Y	Unspecified
d7_Old_Rep1	7	Old	Unspecified
d7_Old_Rep2	7	Old	Unspecified
d7_Y_Rep1	7	Y	Unspecified
d7_Y_Rep2	7	Y	Unspecified
