,d0_Old,d1_Old,d3_Old,d5_Old,d7_Old,d0_Y,d1_Y,d3_Y,d5_Y,d7_Y
ENSMUSG00000104454,0.0846096871436517,-0.690129620521609,-0.690129620521609,-0.0173296950897774,-0.690129620521609,2.4292154882987,-0.598384176144541,-0.486250854831478,0.981676255201609,-0.323147843013337
ENSMUSG00000026621,-0.346191813885587,-0.551144496221636,-0.364013786099912,0.544906805919889,-1.21946846094208,2.10878488336572,-0.0164853244452822,-1.16600254376444,0.919168226163337,0.0904465099099884
ENSMUSG00000083606,-0.70568546706632,0.369955198769238,-0.70568546706632,-0.70568546706632,-0.70568546706632,2.1789872276745,-0.0211868615346009,-0.249353064030411,1.25002483445288,-0.70568546706632
ENSMUSG00000089633,-0.631326167727862,-0.0252530467368207,-0.631326167727862,-0.631326167727862,-0.631326167727862,2.55055771747511,0.450947262613283,-0.284998670018696,0.465377575306438,-0.631326167727862
ENSMUSG00000105019,-0.61868238467156,0.159400212955447,-0.870928613380083,-0.544948871714604,-0.347032599989135,2.23752106607287,0.348584884457734,-1.04556061784373,1.03450059091765,-0.35285366680459
ENSMUSG00000030049,-0.67135602881142,-0.67135602881142,0.708142660716087,-0.67135602881142,-0.67135602881142,1.81174161233809,-0.395456290905919,-0.395456290905919,1.62780845281476,-0.67135602881142
ENSMUSG00000102553,-0.403696122291127,-0.623279787657246,0.0354712074276482,-0.775299248061452,-0.775299248061452,2.46778257389495,-0.268567713380764,-0.336131918342677,0.947587969852886,-0.268567713380764
ENSMUSG00000092577,-0.688653417465954,0.0069560951575373,0.215638948840243,-0.932116746414639,-0.932116746414639,2.27638212895696,-0.227812115235507,-0.688653417465954,1.01558988830509,-0.0452146182631391
ENSMUSG00000008438,-0.0441386917905701,-0.674691423818987,-0.674691423818987,-0.674691423818987,-0.674691423818987,1.31154968405677,0.0819718553717766,-0.674691423818987,2.22585114578172,-0.20177687432476
ENSMUSG00000111658,-0.521287662768695,-0.521287662768695,-0.521287662768695,-0.521287662768695,-0.521287662768695,1.33414300006535,0.0088353837553182,-0.521287662768695,2.3060352555602,-0.521287662768695
ENSMUSG00000081585,-0.488290314425742,-0.488290314425742,-0.488290314425742,-0.488290314425742,-0.488290314425742,1.23707730945509,-0.217644412640514,-0.488290314425742,2.39859930416562,-0.488290314425742
ENSMUSG00000031512,-0.742773283139678,-0.742773283139678,-0.742773283139678,-0.742773283139678,0.17761969810208,1.38866309447281,0.0322944905375917,-0.355239396301043,2.13143637790314,-0.403681132155873
ENSMUSG00000079423,-0.592916557609062,-0.592916557609062,-0.592916557609062,-0.0282341217909077,-0.592916557609062,1.38347196775448,-0.592916557609062,-0.0282341217909077,2.23049562148171,-0.592916557609062
ENSMUSG00000082551,-0.471044209462107,-0.471044209462107,-0.471044209462107,-0.471044209462107,-0.471044209462107,2.1338707597696,-0.471044209462107,-0.471044209462107,1.63448291592725,-0.471044209462107
ENSMUSG00000025461,-0.50279205514316,-0.50279205514316,-0.50279205514316,-0.50279205514316,-0.50279205514316,1.75746580742701,-0.50279205514316,-0.256777594526069,2.01885617310118,-0.50279205514316
ENSMUSG00000103625,-0.474341649025257,-0.474341649025257,-0.474341649025257,-0.474341649025257,-0.474341649025257,1.89736659610103,-0.474341649025257,-0.474341649025257,1.89736659610103,-0.474341649025257
ENSMUSG00000080573,-0.473882181591515,-0.473882181591515,-0.473882181591515,-0.473882181591515,-0.473882181591515,1.80218227811371,-0.473882181591515,-0.473882181591515,1.98887517461841,-0.473882181591515
ENSMUSG00000089987,-0.542874818987214,-0.542874818987214,-0.542874818987214,-0.542874818987214,-0.542874818987214,2.13714011019017,-0.542874818987214,0.129037755543867,1.53394586717646,-0.542874818987214
ENSMUSG00000095186,-0.513897778011845,-0.598759582449478,-0.598759582449478,-0.348640579896454,-0.502731751112156,2.34013869754855,-0.546279256020942,0.147131014449719,1.22055840039156,-0.598759582449478
ENSMUSG00000022857,0.280066975710557,-0.791493623882357,-0.791493623882357,-0.791493623882357,-0.645371724070707,2.2770662721623,0.0121768250817188,0.182652373887831,-0.69407902498207,0.961969173857445
ENSMUSG00000105980,-0.615560236615621,-0.615560236615621,-0.615560236615621,-0.615560236615621,-0.615560236615621,1.73476066853517,-0.615560236615621,1.17516044854627,-0.615560236615621,1.39900053922791
ENSMUSG00000066749,-0.561546831061899,-0.600953625805181,-0.600953625805181,-0.482733240393131,-0.600953625805181,2.11811523867197,-0.600953625805181,0.58125022831532,-0.600953625805181,1.34968273349365
ENSMUSG00000078160,-0.708419818680262,-0.606488909517634,-0.0968343637044963,-0.708419818680262,-0.708419818680262,1.99274927412937,-0.606488909517634,0.107027454620759,-0.300696182029752,1.63599109206017
ENSMUSG00000110594,-0.575739068265337,-0.575739068265337,0.00544863471544484,-0.575739068265337,-0.575739068265337,2.29387521520227,-0.1580104067479,-0.575739068265337,-0.575739068265337,1.3131209664222
ENSMUSG00000044081,-0.349468412660856,-0.552426474831833,-0.476317201612853,0.132556984138983,-1.16130066058367,2.26361663427041,-0.419235246698619,-0.577796232317795,-0.0196615622989759,1.16003217259521
ENSMUSG00000090919,-0.489006123350749,-0.656665365642435,-0.265460466961835,-0.00465720117476904,-0.861582217332272,1.99793930397592,-0.433119709253521,-0.464167716961122,-0.513844529740376,1.69056402644116
