Gene,d0_Old,d0_Y,d1_Old,d1_Y,d3_Old,d3_Y,d5_Old,d5_Y,d7_Old,d7_Y
ENSMUSG00000101895,2.8460498942,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766
ENSMUSG00000096997,2.8460498942,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766
ENSMUSG00000107583,2.8460498942,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766
ENSMUSG00000106589,2.8460498942,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766
ENSMUSG00000111652,2.8460498942,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766
ENSMUSG00000104172,2.8460498942,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766
ENSMUSG00000104209,2.8460498942,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766
ENSMUSG00000108511,2.8460498942,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766,-0.316227766
ENSMUSG00000104938,2.844777362,-0.3266578242,-0.3266578242,-0.2315147686,-0.3266578242,-0.3266578242,-0.3266578242,-0.3266578242,-0.3266578242,-0.3266578242
ENSMUSG00000053979,2.8446688025,-0.2279699737,-0.3270873536,-0.3270873536,-0.3270873536,-0.3270873536,-0.3270873536,-0.3270873536,-0.3270873536,-0.3270873536
ENSMUSG00000102936,2.8446113196,-0.2522359674,-0.333023288,-0.333023288,-0.333023288,-0.2612123365,-0.333023288,-0.333023288,-0.333023288,-0.333023288
