AltEvent	Time	Diff
A3SS	0	diff
A3SS	0	-0.51
A3SS	0	-0.29
A3SS	0	-0.27
A3SS	0	0.26
A3SS	0	0.20
A3SS	0	-0.37
A3SS	0	0.31
A3SS	0	0.45
A3SS	0	-0.27
A3SS	0	0.61
A3SS	0	-0.27
A3SS	0	-0.55
A3SS	0	-0.58
A3SS	0	-0.23
A3SS	0	-0.50
A3SS	0	-0.60
A3SS	0	-0.58
A3SS	0	-0.48
A3SS	0	-0.31
A3SS	0	-0.60
A3SS	0	-0.37
A3SS	0	-0.43
A3SS	0	0.52
A3SS	0	0.45
A3SS	0	-0.30
A3SS	0	-0.39
A3SS	0	-0.34
A3SS	0	-0.76
A3SS	0	-0.65
A3SS	0	-0.41
A3SS	0	-0.53
A3SS	0	-0.58
A3SS	0	-0.25
A3SS	0	-0.45
A3SS	0	-0.59
A3SS	0	-0.62
A3SS	0	0.43
A3SS	0	0.50
A3SS	0	-0.35
A3SS	0	0.56
A3SS	5	diff
A3SS	5	-0.32
A3SS	5	0.23
A3SS	5	-0.36
A3SS	5	-0.20
A3SS	5	-0.35
A3SS	5	0.38
A3SS	5	-0.37
A3SS	5	-0.58
A3SS	5	0.23
A3SS	5	0.48
A3SS	5	-0.22
A3SS	5	-0.21
A3SS	5	0.40
A3SS	5	0.47
A3SS	5	0.47
A3SS	5	-0.33
A3SS	5	0.44
A3SS	5	-0.31
A3SS	5	0.35
A3SS	5	-0.34
A3SS	5	0.22
A3SS	5	-0.76
A3SS	5	-0.29
A3SS	5	-0.23
A3SS	5	-0.21
A3SS	5	0.22
A3SS	5	0.32
A3SS	5	-0.53
A3SS	5	-0.29
A3SS	5	-0.48
A3SS	5	0.54
A3SS	5	-0.30
A3SS	5	-0.21
A3SS	5	-0.48
A3SS	5	0.22
A3SS	5	0.27
A3SS	5	0.26
A3SS	5	-0.48
A3SS	5	0.74
A3SS	5	0.24
A3SS	5	0.20
A3SS	5	-0.36
A3SS	5	-0.50
A3SS	5	-0.26
A3SS	5	-0.36
A3SS	5	-0.29
A3SS	5	-0.64
A3SS	5	0.58
A3SS	5	0.23
A3SS	5	0.20
