"","d0_Old_R1","d0_Old_R3","d0_Old_R4","d0_Y_R5","d0_Y_R6","d0_Y_R7","d0_Y_R8","d1_Old_R1","d1_Old_R2","d1_Y_R3","d1_Y_R4","d1_Y_R5","d1_Y_R6","d3_Old_R1","d3_Old_R2","d3_Y_R1","d3_Y_R2","d3_Y_R3","d5_Old_R1","d5_Old_R2","d5_Y_R1","d5_Y_R2","d5_Y_R3","d7_Old_R1","d7_Old_R2","d7_Y_R1","d7_Y_R2"
"d0_Old_R1",1,0.983253214521266,0.985639183990809,0.983913331226524,0.960856495952172,0.975172869001958,0.980691544818089,0.952889422884486,0.95549213484364,0.95426143963975,0.957258275814184,0.950562314314157,0.956012838848657,0.938062893275066,0.938062893275066,0.935477220762364,0.932857974664872,0.928985479809586,0.965761823356437,0.963550765050293,0.958644415375252,0.955120880023162,0.961051718069088,0.95177356595121,0.954365569950958,0.94708144496854,0.946539165349993
"d0_Old_R3",0.983253214521266,1,0.981917923340783,0.987002713474198,0.965735101977748,0.974746455143531,0.978657127955687,0.947748719726612,0.94942394226808,0.948023207447269,0.951793375751623,0.952927658462829,0.94932847266716,0.942451511417618,0.942451511417618,0.935130275736485,0.933364951233392,0.933854959280362,0.960831883601657,0.959388518881147,0.951909694762658,0.94860980966089,0.954366410040239,0.947449368535152,0.949605790244002,0.939417455026395,0.940956638433916
"d0_Old_R4",0.985639183990809,0.981917923340783,1,0.98451059536463,0.964311292742191,0.973151242717128,0.978447761254537,0.952587296908885,0.954144373246947,0.95370625215997,0.95305854203431,0.953929195341434,0.956043770852573,0.940018031554259,0.940018031554259,0.934688142202301,0.931925180406117,0.929697027710336,0.964549857547175,0.962329636359788,0.957504197866752,0.949953334481137,0.957077770327695,0.952783923953859,0.955560896347538,0.944151190622455,0.945067158717168
"d0_Y_R5",0.983913331226524,0.987002713474198,0.98451059536463,1,0.970456776506095,0.990242529312374,0.986158503509812,0.95278965364046,0.954971663994896,0.965592629535299,0.968351201244783,0.966196206884299,0.966583939044617,0.95000835043421,0.95000835043421,0.953536011280767,0.953110907083879,0.950067762533648,0.966221057204967,0.965461312667815,0.967810904083355,0.966895004856976,0.972521980495578,0.956960217791836,0.958731196160518,0.960189334584813,0.955056657702368
"d0_Y_R6",0.960856495952172,0.965735101977748,0.964311292742191,0.970456776506095,1,0.949320351465085,0.963345102769224,0.923259969645108,0.926921882024448,0.924398573176722,0.926387938810451,0.933772124781615,0.925081173976972,0.918135078477586,0.918135078477586,0.911265862938872,0.910569245493341,0.910824560392131,0.936764137878077,0.937317185306314,0.925840516378045,0.922709910613916,0.937605714748178,0.907158369336931,0.909162400611005,0.936171472218257,0.931817426433362
"d0_Y_R7",0.975172869001958,0.974746455143531,0.973151242717128,0.990242529312374,0.949320351465085,1,0.982110800098901,0.957262260816619,0.959869875594791,0.966397338177139,0.967498144193643,0.948601516985974,0.967966470424405,0.949293114435791,0.949293114435791,0.954138872498686,0.954076401484611,0.944650434459162,0.955386028507402,0.954051557170158,0.966093067831867,0.964039864253023,0.96836779543997,0.9532778605928,0.955614724338425,0.95627788478475,0.957255523181628
"d0_Y_R8",0.980691544818089,0.978657127955687,0.978447761254537,0.986158503509812,0.963345102769224,0.982110800098901,1,0.937831001852136,0.940822213689702,0.956452462240712,0.954046637570508,0.945954741251808,0.958302404423108,0.924751219422865,0.924751219422865,0.936805337664835,0.935291343381367,0.924340739505225,0.946278369069564,0.943913466844954,0.956908740878718,0.950490790509744,0.957130181491347,0.935515038767567,0.938340486594276,0.946528964302401,0.94486986196072
"d1_Old_R1",0.952889422884486,0.947748719726612,0.952587296908885,0.95278965364046,0.923259969645108,0.957262260816619,0.937831001852136,1,0.975554041671963,0.973054501810776,0.973099915122334,0.953551135198783,0.973602459650277,0.96375094189576,0.96375094189576,0.951970330186931,0.949621749247761,0.949871684716584,0.964498371949276,0.963783139540153,0.960279550906394,0.954980040755235,0.963213113693738,0.958646051448879,0.960359539143597,0.956612774549,0.956882075256968
"d1_Old_R2",0.95549213484364,0.94942394226808,0.954144373246947,0.954971663994896,0.926921882024448,0.959869875594791,0.940822213689702,0.975554041671963,1,0.973552348389637,0.974411682968087,0.954666507626308,0.974302832458982,0.963206300994055,0.963206300994055,0.95267052006548,0.95008690817166,0.95032011480445,0.966810186732748,0.965904867053872,0.963408537992868,0.957954951280652,0.96556560478981,0.960904293696487,0.962664759291208,0.957622678277574,0.959226773584218
"d1_Y_R3",0.95426143963975,0.948023207447269,0.95370625215997,0.965592629535299,0.924398573176722,0.966397338177139,0.956452462240712,0.973054501810776,0.973552348389637,1,0.980754068892872,0.977782601853251,0.987802857377141,0.958821479277855,0.958821479277855,0.967519756165475,0.966611526474782,0.955713195968236,0.965535293958,0.965919838715913,0.974880254815899,0.974510183755836,0.977152887888192,0.966848997648601,0.9675705829074,0.969274096116683,0.958458075287861
