Family	Motif	Day	RNA_fc_young_over_aged	RNA_mean	HOMER_pval_young_over_aged
bZIP	atf1	0	0.23511688633372535	44.445127050352355	-20.0
bZIP	atf1	1	0.17925506531176416	52.75753277107992	-50.0
bZIP	atf1	3	-0.23087657693829666	34.10043911345529	-0.0
bZIP	atf1	5	0.901650891007232	42.027565140967866	60.0
bZIP	atf1	7	0.21488867757328148	44.83682296513399	-0.0
bZIP	atf3	0	-0.10928510743662671	1111.4320548718104	150.0
bZIP	atf3	1	1.202472807329523	1078.1950421203603	-0.0
bZIP	atf3	3	-0.6290344362904052	159.71106913017016	-0.0
bZIP	atf3	5	-2.2901045842103964	654.2521208329842	-10.0
bZIP	atf3	7	0.15572471901017024	580.1939741114373	-0.0
Homeobox	cux1	0	0.25184693512984146	99.43793218218346	-0.0
Homeobox	cux1	1	0.8349070646335468	78.34707950824095	90.0
Homeobox	cux1	3	0.06019886945391765	32.679804277322944	60.0
Homeobox	cux1	5	0.8391210313859072	63.277913184391934	-0.0
Homeobox	cux1	7	-0.647227060054163	67.45551666467061	-0.0
bZIP	ddit3	0	-1.2688472089485185	78.00915689872205	90.0
bZIP	ddit3	1	0.025625828009211808	89.89805861481625	-0.0
bZIP	ddit3	3	-0.5743779795586593	41.310953521387425	-0.0
bZIP	ddit3	5	-0.3545031524180162	62.69632827666578	-0.0
bZIP	ddit3	7	0.39577586745624704	96.5014586744666	-0.0
Forkhead	foxm1	0	1.2524270057274078	3.02790254490674	-0.0
Forkhead	foxm1	1	-2.546459779585423	7.34317628401147	-10.0
Forkhead	foxm1	3	-0.08002552657941506	34.24506925186898	-0.0
Forkhead	foxm1	5	2.397119287077742	8.00015004003358	-30.0
Forkhead	foxm1	7	-0.11612327477052653	9.630285829101062	-0.0
Forkhead	foxo3	0	0.6991593089174614	5.594857076523237	-0.0
Forkhead	foxo3	1	1.3357633162399714	8.214607157337596	-0.0
Forkhead	foxo3	3	-0.4154457621788001	3.3898925224960825	-0.0
Forkhead	foxo3	5	0.5935907857241113	3.538441790619958	-0.0
Forkhead	foxo3	7	0.26684901820244544	4.5638966810498465	90.0
bHLH	hif1a	0	1.5922772691337739	52.11626169123082	-720.0
bHLH	hif1a	1	-1.376201438991081	52.36697191428791	-0.0
bHLH	hif1a	3	0.3186715067365481	74.6406156740537	-0.0
bHLH	hif1a	5	-0.9502753940504688	97.47700143683858	-60.0
bHLH	hif1a	7	-0.29949975534985007	73.13749599835161	-0.0
bZIP	jun	0	-0.07044446294387886	692.233871659586	160.0
bZIP	jun	1	1.2967394876404414	614.1347015442701	-0.0
