GeneName	GeneID	WT_R	WT_L	MDX_R	MDX_L
Gnai3	ENSMUSG00000000001	99.605	101.835	106.453	107.925
Cdc45	ENSMUSG00000000028	0.925	3.415	17.692	21.578
H19	ENSMUSG00000000031	1.515	26.085	22.244	43.353
Scml2	ENSMUSG00000000037	0.865	0.92	0.972	1.292
Narf	ENSMUSG00000000056	5.705	5.965	5.501	9.164
Cav2	ENSMUSG00000000058	58.125	49.825	60.593	44.479
Klf6	ENSMUSG00000000078	195.77	175.685	194.825	150.509
Scmh1	ENSMUSG00000000085	15.66	21.385	17.016	15.125
Cox5a	ENSMUSG00000000088	449.08	626.505	988.084	995.397
Tbx2	ENSMUSG00000000093	6.695	7.11	4.396	4.562
Tbx4	ENSMUSG00000000094	2.105	1.48	4.056	4.339
Ngfr	ENSMUSG00000000120	1.04	13.4	0.789	4.945
Wnt9a	ENSMUSG00000000126	1.235	1.53	2.99	3.763
Fer	ENSMUSG00000000127	13.315	13.595	15.871	13.31
Xpo6	ENSMUSG00000000131	17.74	22.08	22.071	29.091
Tfe3	ENSMUSG00000000134	11.53	14.78	14.436	16.956
Brat1	ENSMUSG00000000148	2.325	3.055	3.916	4.515
Gna12	ENSMUSG00000000149	21.64	29.08	34.456	40.39
Slc22a18	ENSMUSG00000000154	0.59	1.85	1.062	0.526
Pih1d2	ENSMUSG00000000167	1.405	2.58	3.6	3.746
Dlat	ENSMUSG00000000168	53.06	52.945	94.176	115.744
Sdhd	ENSMUSG00000000171	146.91	156.98	321.302	380.063
Ccnd2	ENSMUSG00000000184	111.855	104.815	121.788	67.389
Gpr107	ENSMUSG00000000194	12.315	9.62	12.471	14.266
Nalcn	ENSMUSG00000000197	0.905	0.355	0.556	0.29
Btbd17	ENSMUSG00000000202	0.46	0.45	3.0	2.198
Slfn4	ENSMUSG00000000204	0.19	0.54	0.29	1.698
Drp2	ENSMUSG00000000223	61.1	38.045	17.326	17.769
Tspan32	ENSMUSG00000000244	0.805	1.21	2.761	4.376
Lhx2	ENSMUSG00000000247	0.79	1.31	0.406	0.739
