Gene	Control	Injured
Calm1	839.04	536.28
Pde1c	9.77	12.52
Prkacb	22.71	18.79
Prkaca	16.075	24.875
P2rx5	1.275	1.23
Vdac3	258.935	313.305
Plcd1	6.545	7.84
Slc25a5	505.305	491.29
Plcg1	11.775	10.475
Tnnc2	58.745	976.165
Erbb3	22.86	25.91
Adora2b	2.32	1.595
Calm3	28.46	24.16
Atp2b1	27.205	24.455
Egfr	24.9	23.805
Avpr1a	17.59	17.16
Adora2a	0.74	1.005
Vdac1	41.195	64.405
Adcy3	1.43	2.28
P2rx1	11.48	7.49
Atp2a3	18.775	18.545
Nos2	1.865	2.27
Cacna1g	1.055	1.855
Plcd3	4.81	5.0
Bdkrb2	0.915	2.2
Adcy2	11.01	12.94
Vdac2	166.63	170.16
Ppp3cb	8.35	6.025
Camk2g	2.26	1.74
Ppp3cc	16.545	20.225
Ednrb	32.455	65.4
Adcy4	7.525	12.055
Pde1b	2.655	3.665
P2rx6	1.06	0.59
Mylk	26.685	22.98
Lhcgr	1.225	0.14
Cacna1h	1.94	1.805
Gnal	1.785	1.235
Camk2a	0.68	0.28
Pdgfrb	15.01	23.745
Gnaq	12.145	9.36
Gna14	8.005	3.005
Htr7	1.61	2.165
Plcb3	12.865	13.39
Plce1	10.145	3.49
Phkg1	2.0	2.2
Plcd4	1.99	1.055
Htr2b	1.59	1.86
Cacna1s	0.41	8.55
Atp2b4	4.615	2.96
Mylk2	0.91	0.93
Gnas	868.575	1065.67
Ppid	61.675	59.02
Ptgfr	2.765	1.76
Ppp3ca	28.935	40.985
Nos3	7.485	11.18
Bst1	4.75	0.375
Cd38	22.275	17.465
Pdgfra	7.27	3.625
Atp2a2	140.125	123.22
P2rx7	9.07	10.24
P2rx4	10.26	15.355
Itpr1	8.335	8.045
Itpr2	9.645	12.035
Chrna7	1.155	1.15
Ryr1	0.35	0.77
Atp2a1	17.225	164.68
Phkg2	10.6	12.67
Chp2	16.58	10.085
Phka2	3.05	4.645
Ednra	12.62	10.235
Slc25a4	168.0	252.535
Adcy7	16.705	13.35
Trpc1	6.135	3.71
Ppp3r1	69.81	72.325
Phka1	5.11	5.26
Plcg2	1.55	1.865
Cacna1a	1.735	2.12
Gna11	14.235	19.485
Gna15	0.455	0.625
Tbxa2r	3.235	2.42
Htr2a	0.58	0.9
Prkx	26.705	24.44
Calm2	1680.145	1407.75
Phkb	21.125	18.215
Pln	33.89	26.02
Itpkb	2.84	1.71
Plcb4	84.71	45.305
Ptger3	0.83	1.83
Bdkrb1	28.98	32.525
Itpr3	2.6	3.225
Adrb2	23.805	23.4
Adra1a	1.685	1.77
F2r	76.755	82.825
Adra1b	1.985	0.925
Prkca	10.065	6.055
Plcb1	8.15	5.125
Cysltr1	7.7	10.245
Prkcb	1.375	2.25
Hrh1	3.61	4.32
Camk2d	47.08	52.115
Slc8a1	1.725	0.61
Ptafr	0.39	0.66
Sphk2	2.64	4.405
Camk2b	9.01	4.435
Grin2a	1.015	0.74
Pde1a	43.36	29.055
Ptk2b	0.58	1.435
Sphk1	24.34	37.71
Erbb2	3.145	8.82
Vdac3-ps1	7.99	9.075
Prkcg	0.66	1.46
Slc8a3	2.8	0.78
Tnnc1	2.985	58.775
