Gene	Control	Injured
Txnrd3	9.685	8.995
Apoe	664.28	1342.925
Nqo1	13.59	9.94
Prdx2	105.865	189.16
Hmox1	51.345	148.61
Apc	25.02	40.855
Cyba	52.05	82.315
Sod2	27.005	31.25
Sqstm1	723.805	876.215
Ncf1	0.66	1.94
Il19	0.0	0.865
Gpx3	2111.93	2535.54
Mb	15.845	472.035
Noxo1	0.695	1.045
Txnrd1	104.94	128.65
Cygb	4.35	7.11
Nos2	1.865	2.27
Fancc	10.98	6.58
Ctsb	149.275	269.085
Psmb5	49.205	99.25
Sod1	83.655	67.135
Slc38a1	1.63	1.97
Fth1	3112.165	3106.61
Prdx5	44.105	70.465
Prdx3	56.955	70.02
Prdx4	139.68	163.07
Idh1	40.965	51.95
Als2	6.735	4.55
Ncf2	4.63	4.94
Prdx6	183.91	159.87
Vim	452.215	1096.52
Cat	33.3	33.355
Gss	10.03	14.29
Gclm	56.58	51.65
Xpa	15.28	19.675
Txn1	249.72	299.35
Gpx7	13.405	33.82
Prdx1	1757.56	2137.67
Park7	109.965	172.49
Gstk1	31.44	28.605
Ercc2	0.975	1.365
Nox4	3.205	4.565
Nox1	0.0	0.0
Gsr	11.545	11.89
Gclc	16.47	18.41
Atr	8.6	7.185
Ptgs2	9.5	7.635
Srxn1	82.485	119.78
Ucp3	0.185	0.85
Dnm2	20.745	35.73
Ucp2	44.015	103.99
Recql4	0.105	0.095
Ccs	20.135	36.385
Ccl5	5.19	4.615
Scd1	39.485	40.335
Txnip	89.56	80.735
Ift172	6.185	7.805
Fmo2	16.655	16.825
Krt1	0.0	0.0
Ptgs1	7.295	9.09
Ercc6	1.4	1.825
Gstp1	198.895	462.455
Aox1	3.86	3.83
Gpx1	191.06	391.125
Sod3	46.32	42.37
Ehd2	19.95	15.935
Txnrd2	4.685	10.045
Gpx4	178.165	280.925
Prnp	324.775	199.2
Hspa1a	209.1	175.995
Nxn	2.805	4.66
Cbr3	6.77	4.3
Cav3	1.205	3.875
