Gene	Control	Injured
Myh11	148.915	121.115
Myh10	5.78	5.485
Myh3	0.045	0.505
Myh9	16.955	22.155
Myh14	5.41	2.68
Myh2	0.34	19.98
Myh6	0.04	0.29
Myh7	0.045	5.385
Myh8	0.045	0.35
Myh1	0.64	15.3
Myh4	2.245	20.735
Col6a1	73.525	101.595
Col18a1	28.25	116.91
Col1a1	150.885	158.04
Col5a3	19.495	25.63
Col26a1	3.63	7.435
Col20a1	100.895	36.99
Col6a2	40.87	65.575
Col4a3bp	6.605	7.85
Col14a1	1.935	11.63
Col2a1	1.61	4.98
Col11a2	6.56	6.17
Col17a1	0.28	1.12
Col7a1	0.37	5.19
Col5a2	31.405	74.71
Col3a1	369.265	510.72
Col19a1	4.63	3.74
Col9a1	0.765	0.1
Col5a1	11.465	22.665
Col9a3	3.38	2.395
Col11a1	13.37	12.665
Col24a1	2.725	0.695
Col15a1	6.76	6.51
Col9a2	4.53	0.745
Col1a2	332.105	391.3
Col4a5	2.85	2.755
Col4a1	69.925	109.99
Col4a2	38.035	50.99
Col12a1	24.505	16.195
Colgalt2	4.365	2.48
Colgalt1	23.9	28.8
Colec12	52.065	55.96
Colec11	3.495	5.605
Col16a1	25.5	39.885
Col6a6	0.17	0.14
Col27a1	2.085	3.105
Col6a3	17.875	17.95
Col8a2	5.96	6.14
Colq	0.76	0.0
Col13a1	1.46	1.79
Col23a1	1.735	0.435
Col8a1	10.295	34.34
Col28a1	26.125	22.465
Col22a1	18.815	17.745
Acta1	89.755	2766.945
Acta2	1230.02	1078.47
Tmod4	4.775	58.505
Tnnc2	58.745	976.165
Murc	1.76	9.37
Ckm	21.365	466.905
Csrp3	3.14	219.745
Tpm1	355.435	831.99
Sln	1.795	45.72
Nrap	0.305	3.445
Myh7	0.045	5.385
Eno3	17.645	69.89
Myoz1	3.565	40.31
